AirDate,First,Second,Third,Fourth
2014-03-08,Harkin,Ptaszynski,Harkin,Schreiber
2014-03-14,Ptaszynski,Harkin,Schreiber,Murray
2014-03-21,Jenner,Schreiber,Edelman,Harkin
2014-03-28,Schreiber,Harkin,Ptaszynski,Murray
2014-04-04,Ptaszynski,Schreiber,Harkin,Murray
2014-04-11,Abrahams,Oldfield,Murray,Harkin
2014-04-18,Harkin,Schreiber,Ptaszynski,Murray
2014-04-25,Bell,Schreiber,Harkin,Ptaszynski
2014-05-02,Harkin,Schreiber,Ptaszynski,Murray
2014-05-09,Lampaert,Schreiber,Harkin,Murray
2014-05-16,Murray,Ptaszynski,Schreiber,Harkin
2014-05-23,Harkin,Ptaszynski,Schreiber,Murray
2014-05-30,Scheire,Schreiber,Ptaszynski,Murray
2014-06-07,Harkin,Schreiber,Ptaszynski,Murray
2014-06-28,Harkin,Ptaszynski,Schreiber,Murray
2014-07-05,Harkin,Miller,Schreiber,Ptaszynski
2014-07-11,Ptaszynski,Schreiber,Harkin,Lloyd
2014-07-18,Turner,Schreiber,Ptaszynski,Harkin
2014-07-25,Harkin,Ptaszynski,Murray,Schreiber
2014-08-01,Harkin,Schreiber,Miller,Murray
2014-08-08,Ptaszynski,Schreiber,Harkin,Murray
2014-08-15,Harkin,Schreiber,Ptaszynski,Murray
2014-08-22,Ptaszynski,Schreiber,Harkin,Bell
2014-08-29,Bell,Schreiber,Ptaszynski,Harkin
2014-09-05,Ptaszynski,Murray,Harkin,Schreiber
2014-09-13,Rich,Schreiber,Harkin,Murray
2014-09-19,Zaltzman,Schreiber,Ptaszynski,Murray
2014-09-26,Murray,Harkin,Schreiber,Ptaszynski
2014-10-03,Harkin,Schreiber,Ptaszynski,Murray
2014-10-10,Harkin,Schreiber,Ptaszynski,Murray
2014-10-17,Harkin,Ptaszynski,Schreiber,Murray
2014-10-24,Gardner,Ptaszynski,Harkin,Schreiber
2014-10-31,Murray,Schreiber,Ptaszynski,Harkin
2014-11-07,Harkin,Murray,Ptaszynski,Schreiber
2014-11-15,Harkin,Schreiber,Ptaszynski,Murray
2014-11-21,Ptaszynski,Schreiber,Murray,Harkin
2014-11-28,Ptaszynski,Harkin,Schreiber,Murray
2014-12-06,Scheire,Ptaszynski,Murray,Harkin
2014-12-12,Harkin,Schreiber,Ptaszynski,Murray
2014-12-19,Murray,Ptaszynski,Miller,Schreiber
